Coding System (ICD-10 Read),Codes,Description,Entity type,Category
Read,U602311,[x] adverse reaction to insulins and antidiabetic agents,res30: Diabetes mellitus,diagnostic
Read,2BBX.00,o/e - left eye diabetic maculopathy,res30: Diabetes mellitus,diagnostic
Read,13AB.00,diabetic lipid lowering diet,res30: Diabetes mellitus,diagnostic
Read,9OL..11,diabetes clinic administration,res30: Diabetes mellitus,diagnostic
Read,C109C11,type ii diabetes mellitus with nephropathy,res30: Diabetes mellitus,diagnostic
Read,C108z00,unspecified diabetes mellitus with multiple complications,res30: Diabetes mellitus,diagnostic
Read,C10zz00,diabetes mellitus nos with unspecified complication,res30: Diabetes mellitus,diagnostic
Read,ZV65312,[v]dietary counselling in diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,C102.00,diabetes mellitus with hyperosmolar coma,res30: Diabetes mellitus,diagnostic
Read,66AD.00,fundoscopy - diabetic check,res30: Diabetes mellitus,diagnostic
Read,9OL4.00,diabetes monitoring 1st letter,res30: Diabetes mellitus,diagnostic
Read,C104.00,diabetes mellitus with renal manifestation,res30: Diabetes mellitus,diagnostic
Read,ZL62600,referral to diabetic liaison nurse,res30: Diabetes mellitus,diagnostic
Read,42W3.00,hb. a1c > 10% - bad control,res30: Diabetes mellitus,diagnostic
Read,42W1.00,hb. a1c < 7% - good control,res30: Diabetes mellitus,diagnostic
Read,66AE.00,feet examination,res30: Diabetes mellitus,diagnostic
Read,9OL1.00,attends diabetes monitoring,res30: Diabetes mellitus,diagnostic
Read,42WZ.00,hb. a1c - diabetic control nos,res30: Diabetes mellitus,diagnostic
Read,C106.13,diabetes mellitus with polyneuropathy,res30: Diabetes mellitus,diagnostic
Read,44T9.00,glucometer blood sugar,res30: Diabetes mellitus,diagnostic
Read,66AH.00,diabetic treatment changed,res30: Diabetes mellitus,diagnostic
Read,C100100,"diabetes mellitus, adult onset, no mention of complication",res30: Diabetes mellitus,diagnostic
Read,42c..00,hba1 - diabetic control,res30: Diabetes mellitus,diagnostic
Read,C106.00,diabetes mellitus with neurological manifestation,res30: Diabetes mellitus,diagnostic
Read,C100111,maturity onset diabetes,res30: Diabetes mellitus,diagnostic
Read,C103.00,diabetes mellitus with ketoacidotic coma,res30: Diabetes mellitus,diagnostic
Read,C108H00,insulin dependent diabetes mellitus with arthropathy,res30: Diabetes mellitus,diagnostic
Read,2G5A.00,o/e - right diabetic foot at risk,res30: Diabetes mellitus,diagnostic
Read,C10F300,type 2 diabetes mellitus with multiple complications,res30: Diabetes mellitus,diagnostic
Read,C109J12,insulin treated type ii diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,F171100,autonomic neuropathy due to diabetes,res30: Diabetes mellitus,diagnostic
Read,13L4.11,diabetic child,res30: Diabetes mellitus,diagnostic
Read,C108F11,type i diabetes mellitus with diabetic cataract,res30: Diabetes mellitus,diagnostic
Read,8A17.00,self monitoring of blood glucose,res30: Diabetes mellitus,diagnostic
Read,F35z000,diabetic mononeuritis nos,res30: Diabetes mellitus,diagnostic
Read,C109600,non-insulin-dependent diabetes mellitus with retinopathy,res30: Diabetes mellitus,diagnostic
Read,14P3.00,h/o: insulin therapy,res30: Diabetes mellitus,diagnostic
Read,F440700,diabetic iritis,res30: Diabetes mellitus,diagnostic
Read,66AM.00,diabetic - follow-up default,res30: Diabetes mellitus,diagnostic
Read,C108.12,type 1 diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,C108J12,type 1 diabetes mellitus with neuropathic arthropathy,res30: Diabetes mellitus,diagnostic
Read,7L19800,subcutaneous injection of insulin,res30: Diabetes mellitus,diagnostic
Read,66AL.00,diabetic-uncooperative patient,res30: Diabetes mellitus,diagnostic
Read,C109.12,type 2 diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,C109G11,type ii diabetes mellitus with arthropathy,res30: Diabetes mellitus,diagnostic
Read,N030000,diabetic cheiroarthropathy,res30: Diabetes mellitus,diagnostic
Read,C109.13,type ii diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,2G5C.00,foot abnormality - diabetes related,res30: Diabetes mellitus,diagnostic
Read,66AT.00,annual diabetic blood test,res30: Diabetes mellitus,diagnostic
Read,C109J00,insulin treated type 2 diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,68A9.00,diabetic retinopathy screening offered,res30: Diabetes mellitus,diagnostic
Read,C10FB00,type 2 diabetes mellitus with polyneuropathy,res30: Diabetes mellitus,diagnostic
Read,C10E700,type 1 diabetes mellitus with retinopathy,res30: Diabetes mellitus,diagnostic
Read,TJ23A00,adverse reaction to metformin hydrochloride,res30: Diabetes mellitus,diagnostic
Read,68A7.00,diabetic retinopathy screening,res30: Diabetes mellitus,diagnostic
Read,C10FM00,type 2 diabetes mellitus with persistent microalbuminuria,res30: Diabetes mellitus,diagnostic
Read,8HTk.00,referral to diabetic eye clinic,res30: Diabetes mellitus,diagnostic
Read,C10EH00,type 1 diabetes mellitus with arthropathy,res30: Diabetes mellitus,diagnostic
Read,C108.11,iddm-insulin dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,C10F600,type 2 diabetes mellitus with retinopathy,res30: Diabetes mellitus,diagnostic
Read,8HBH.00,diabetic retinopathy 6 month review,res30: Diabetes mellitus,diagnostic
Read,8I3W.00,diabetic foot examination declined,res30: Diabetes mellitus,diagnostic
Read,C10F000,type 2 diabetes mellitus with renal complications,res30: Diabetes mellitus,diagnostic
Read,8I6F.00,diabetic retinopathy screening not indicated,res30: Diabetes mellitus,diagnostic
Read,C10E500,type 1 diabetes mellitus with ulcer,res30: Diabetes mellitus,diagnostic
