prodcode,prodname,drugsubstance,bnfcode,strength
26261,BERKAPRINE tablets 50mg [RORER],azathioprine,08020100/10010300/01050300,50mg
26301,MYLERAN tablets 2mg [WELLCOME],busulfan,8010100,2mg
26314,NEORECORMON injection 5000 units/vial [ROCHE],epoetin beta,9010300,5000 units/vial
26315,LEUKERAN tablets 5mg [WELLCOME],chlorambucil,8010100,5mg
26316,vincristine sulphate injection 2mg ,vincristine sulphate,8010400,2mg
26320,CALCIUM LEUCOVORIN injection 15mg/vial [WYETH PHAR],calcium folinate,8010602,15mg/vial
26322,cyclophosphamide injection 100mg ,cyclophosphamide,8010100,100mg
26343,ALKERAN tablets 2mg [WELLCOME],melphalan,8010100,2mg
26385,epoetin alfa injection 5000 iu (42 microgram)/0.5ml ,epoetin alfa,9010300,5000 iu (42 microgram)/0.5ml
26387,etanercept powder for solution for injection 50mg ,etanercept,10010300,50mg
26502,LANVIS tablets 40mg [WELLCOME],tioguanine,8010300,40mg
26580,melphalan injection 100mg/vial ,melphalan hydrochloride,8010100,100mg/vial
26680,ADRIAMYCIN injection 10mg/vial [PHARMACIA],doxorubicin hydrochloride,07040401/08010200,10mg/vial
26702,folinic acid injection 350mg/35ml ,calcium folinate,8010602,350mg/35ml
26769,ARANESP SURECLICK injection 60micrograms [AMGEN],darbepoetin alfa,9010300,60micrograms
26790,SANDIMMUN concentrate for solution for infusion 50mg/ml [NOV/SANDOZ],ciclosporin,08020200/01050300,50mg/ml
26851,epoetin beta injection solution 20000 iu (166 microgram)/0.6ml ,epoetin beta,9010300,20000 iu (166 microgram)/0.6ml
26933,epoetin beta injection 10000 units/vial ,epoetin beta,9010300,10000 units/vial
26942,ROFERON -A injection (solution) 4.5 million iu/0.5ml [ROCHE],interferon alfa-2a,8020401,4.5 million iu/0.5ml
26947,doxorubicin injection 2mg/ml ,doxorubicin hydrochloride,07040401/08010200,2mg/ml
26963,ROFERON -A injection 18 million i.u./0.6ml [ROCHE],interferon alfa-2a,8020401,18 million i.u./0.6ml
27071,dactinomycin powder for solution for injection 500micrograms ,dactinomycin,8010200,500micrograms
27089,ROFERON -A injection (solution) 9 million iu/ml [ROCHE],interferon alfa-2a,8020401,9 million iu/ml
27092,interferon alfa-2a injection (solution) 9 million iu/ml ,interferon alfa-2a,8020401,9 million iu/ml
27094,ROFERON -A injection (solution) 9 million iu/0.5ml [ROCHE],interferon alfa-2a,8020401,9 million iu/0.5ml
27113,PHENYTOIN SODIUM tablets 100mg [TEVA],phenytoin sodium,04070300/04080100,100mg
27224,ONCOVIN injection 2mg [LILLY],vincristine sulphate,8010400,2mg
27289,MYFORTIC tablets 360mg [NOVARTIS],mycophenolate sodium,8020100,360mg
27290,MYFORTIC tablets 180mg [NOVARTIS],mycophenolate sodium,8020100,180mg
27292,HERCEPTIN powder for concentrate for solution for infusion 150mg [ROCHE],trastuzumab,8010515,150mg
27293,oxaliplatin powder for concentrate for solution for infusion 50mg ,oxaliplatin,8010510,50mg
27333,INTRONA injection solution 30 million iu/1.2ml [SCHERING-P],interferon alfa-2b,8020401,30 million iu/1.2ml
27377,INTRONA injection solution 18 million iu/1.2ml [SCHERING-P],interferon alfa-2b,8020401,18 million iu/1.2ml
27388,AVONEX injection solution 30micrograms/0.5ml [BIOGEN],interferon beta-1a,8020402,30micrograms/0.5ml
27469,ADRIAMYCIN injection 50mg/vial [PHARMACIA],doxorubicin hydrochloride,07040401/08010200,50mg/vial
27618,ROFERON -A injection (solution) 6 million iu/ml [ROCHE],interferon alfa-2a,8020401,6 million iu/ml
27752,tretinoin capsules 10mg ,tretinoin,8010516,10mg
27922,temozolomide capsules 5mg ,temozolomide,8010506,5mg
27967,PRO-EPANUTIN concentrate for injection 750mg/10ml [PFIZER],fosphenytoin sodium,04080100/04080200,750mg/10ml
28055,ROFERON -A sterile powder 18 million iu/vial [ROCHE],interferon alfa-2a,8020401,18 million iu/vial
28188,bcg bladder instillation ,tuberculosis vaccine,8020404,
28208,REFOLINON tablets 15mg [PHARMACIA],calcium folinate,09010200/08010602,15mg
28296,RECORMON injection 10000 units/vial [BOEH MANN],epoetin beta,9010300,10000 units/vial
28324,cisplatin powder 25mg/vial ,cisplatin,8010510,25mg/vial
28325,epirubicin hydrochloride powder for solution for injection 50mg ,epirubicin hydrochloride,07040401/08010200,50mg
28341,epoetin beta injection solution 30000 i.u. (250 micrograms)/0.6ml ,epoetin beta,9010300,30000 i.u. (250 micrograms)/0.6ml
28419,RECORMON -S injection 10000 units/vial [BOEH MANN],epoetin beta,9010300,10000 units/vial
28428,peginterferon alfa-2b injection 80micrograms ,peginterferon alfa-2b,8020401,80micrograms
28443,VESANOID capsules 10mg [ROCHE],tretinoin,8010516,10mg
28490,rituximab concentrate for solution for infusion 100mg/10ml ,rituximab,08020300/10010300,100mg/10ml
28605,NATULAN capsules 50mg [CAMBRIDGE],procarbazine hydrochloride,8010512,50mg
28682,dacarbazine powder for solution for injection 200mg ,dacarbazine citrate,8010506,200mg
28709,chlormethine injection 10mg ,chlormethine hydrochloride,8010100,10mg
28797,epoetin beta injection solution 500 iu (4.15 micrograms)/0.3ml ,epoetin beta,9010300,500 iu (4.15 micrograms)/0.3ml
28800,GLIVEC tablets 400mg [NOVARTIS],imatinib mesilate,8010508,400mg
28889,PHARMORUBICIN injection solution 2mg/ml [PHARMACIA],epirubicin hydrochloride,07040401/08010200,2mg/ml
28976,BETAFERON powder for solution for injection 300micrograms (9.6million IU) [SCHERING],interferon beta-1b,8020402,300micrograms (9.6million IU)
28999,RAPAMUNE tablets 2mg [WYETH PHAR],sirolimus,8020200,2mg
29208,interferon alfa-2b injection 10 million iu/vial ,interferon alfa-2b,8020401,10 million iu/vial
29229,imatinib tablets 100mg ,imatinib mesilate,8010508,100mg
29340,AZATHIOPRINE tablets 50mg [IVAX],azathioprine,08020100/10010300/01050300,50mg
29566,hydroxychloroquine sulphate oral solution 200mg/5ml ,hydroxychloroquine sulphate,10010300/23010000,200mg/5ml
29652,epirubicin hydrochloride injection 2mg/ml ,epirubicin hydrochloride,07040401/08010200,2mg/ml
29675,PURI-NETHOL tablets 50mg [WELLCOME],mercaptopurine,08010300/01050300,50mg
29700,TEMODAL capsules 250mg [SCHERING-P],temozolomide,8010506,250mg
29721,PENDRAMINE tablets 125mg [VIATRIS],penicillamine,10010300/16070000/09080101,125mg
29743,FLUDARA ORAL tablets 10mg [GENZYME],fludarabine phosphate,8010300,10mg
29761,VEPESID capsules 50mg [BRISTOL],etoposide,8010400,50mg
29840,cyclophosphamide injection 1000mg ,cyclophosphamide,8010100,1000mg
30014,MITHRACIN injection 2.5mg/vial [PFIZER],mannitol/sodium phosphate/plicamycin,8010200,2.5mg/vial
30051,MITOMYCIN C KYOWA injection 2mg [KYOWA HAK],mitomycin,07040401/08010200,2mg
30307,NEUPOGEN SINGLEJECT injection 300microgram/0.5ml [AMGEN],filgrastim,9010600,300microgram/0.5ml
30318,interferon alfa-2a injection (solution) 4.5 million iu/0.5ml ,interferon alfa-2a,8020401,4.5 million iu/0.5ml
30344,PEGASYS injection 180micrograms [ROCHE],peginterferon alfa-2a,8020401,180micrograms
30392,PENTRAN tablets 50mg [BERK],phenytoin sodium,04070300/04080100,50mg
30407,NEORECORMON injection 1000 IU [ROCHE],epoetin beta,9010300,1000 IU
30463,interferon gamma -1b injection 100micrograms/0.5ml ,interferon gamma-1b,8020408,100micrograms/0.5ml
30495,IMURAN tablets 10mg [WELLCOME],azathioprine,08020100/10010300/01050300/23000000,10mg
30581,CELLCEPT powder for concentrate for solution for infusion 500mg [ROCHE],mycophenolate mofetil,8020100,500mg
30607,UROMITEXAN tablets 400mg [BAXTER ONC],mesna,8010604,400mg
30709,NEUPOGEN injection 480micrograms/1.6ml [AMGEN],filgrastim,9010600,480micrograms/1.6ml
30836,doxorubicin powder for solution for injection 10mg ,doxorubicin hydrochloride,07040401/08010200,10mg
30925,PENICILLAMINE tablets 250mg [ACTAVIS],penicillamine,10010300/16070000/09080101,250mg
31076,trastuzumab powder for concentrate for solution for infusion 150mg ,trastuzumab,8010515,150mg
31093,PEGASYS injection 135micrograms [ROCHE],peginterferon alfa-2a,8020401,135micrograms
31115,etoposide concentrate for solution for infusion 20mg/ml ,etoposide,8010400,20mg/ml
31120,PENICILLAMINE tablets 125mg [IVAX],penicillamine,10010300/16070000/09080101,125mg
31179,glatiramer acetate injection 20mg/1ml ,glatiramer acetate,8020405,20mg/1ml
31190,WELLFERON solution 10 mega units/ml [WELLCOME],interferon alfa-n1,8020401,10 mega units/ml
31193,ENDOXANA tablets 10mg [BAXTER ONC],cyclophosphamide,8010100,10mg
31215,AZATHIOPRINE tablets 50mg [KENT],azathioprine,08020100/10010300/01050300,50mg
31216,PENICILLAMINE tablets 125mg [ACTAVIS],penicillamine,10010300/16070000/09080101,125mg
31217,PENICILLAMINE tablets 250mg [HILLCROSS],penicillamine,10010300/16070000/09080101,250mg
31223,vinblastine sulphate injection 10mg/vial ,vinblastine sulphate,8010400,10mg/vial
31229,INTRONA injection solution 5 million iu/ml [SCHERING-P],interferon alfa-2b,8020401,5 million iu/ml
31339,idarubicin hydrochloride capsules 10mg ,idarubicin hydrochloride,8010200,10mg
31494,mithramycin injection 2.5mg/vial ,mannitol/sodium phosphate/plicamycin,8010200,2.5mg/vial
31524,calcium leucovorin tablets 15mg ,calcium folinate,09010200/08010602,15mg
31539,epirubicin hydrochloride injection (powder) 20mg ,epirubicin hydrochloride,07040401/08010200,20mg
31598,MABCAMPATH concentrate for solution for infusion 10mg/ml [SCHERING],alemtuzumab,8020300,10mg/ml
31629,INTRONA injection 18 million iu/vial [SCHERING-P],interferon alfa-2b,8020401,18 million iu/vial
31667,SULFASALAZINE tablets 500mg [HILLCROSS],sulfasalazine,10010300/01050100,500mg
31864,IMMUCYST bladder instillation 81mg [CAMBRIDGE],tuberculosis vaccine,8020404,81mg
31949,SULFASALAZINE tablets 500mg [ACTAVIS],sulfasalazine,10010300/01050100,500mg
31984,idarubicin hydrochloride capsules 5mg ,idarubicin hydrochloride,8010200,5mg
32034,peginterferon alfa-2b injection 100micrograms ,peginterferon alfa-2b,8020401,100micrograms
32101,AZATHIOPRINE tablets 25mg [HILLCROSS],azathioprine,08020100/10010300/01050300,25mg
32204,DTIC-DOME injection 100mg/vial [BAYER],dacarbazine citrate,8010506,100mg/vial
32261,bleomycin sulphate injection 15000 iu/vial ,bleomycin sulphate,8010200,15000 iu/vial
32276,darbepoetin alfa injection 300micrograms ,darbepoetin alfa,9010300,300micrograms
32412,MYLERAN tablets 500micrograms [WELLCOME],busulfan,8010100,500micrograms
32418,KINERET injection 100mg/0.67ml [AMGEN],anakinra,10010300,100mg/0.67ml
32489,interferon alfa-2a injection (solution) 18 million iu/0.5ml ,interferon alfa-2a,8020401,18 million iu/0.5ml
32490,temozolomide capsules 20mg ,temozolomide,8010506,20mg
32523,ARANESP SURECLICK injection 40micrograms [AMGEN],darbepoetin alfa,9010300,40micrograms
32529,VIRAFERONPEG injection 120micrograms [SCHERING-P],peginterferon alfa-2b,8020401,120micrograms
32593,mitomycin injection 40mg ,mitomycin,07040401/08010200,40mg
32604,vinblastine sulphate injection 10mg/10ml ,vinblastine sulphate,8010400,10mg/10ml
32608,interferon beta-1a injection 22micrograms (6million IU) ,interferon beta-1a,8020402,22micrograms (6million IU)
32614,SIMULECT powder for solution for infusion 20mg [NOVARTIS],basiliximab,8020200,20mg
32625,interferon alfa-2a injection (solution) 4.5 million iu/ml ,interferon alfa-2a,8020401,4.5 million iu/ml
32686,KEPIVANCE powder for solution for injection 6.25mg [AMGEN],palifermin,8010602,6.25mg
32712,ERBITUX solution for infusion 2mg/ml [MERCK PHAR],cetuximab,8010504,2mg/ml
32774,vinorelbine capsules 20mg ,vinorelbine tartrate,8010400,20mg
32824,cisplatin concentrate for solution for infusion 1mg/ml ,cisplatin,8010510,1mg/ml
32972,mercaptopurine tablets 10mg ,mercaptopurine,08010300/01050300,10mg
33123,tacrolimus concentrate for solution for infusion 5mg/1ml ,tacrolimus,8020200,5mg/1ml
33127,XELODA tablets 150mg [ROCHE],capecitabine,8010300,150mg
33171,vinorelbine injection solution 10mg/ml ,vinorelbine,8010400,10mg/ml
33174,mitoxantrone concentrate for solution for infusion 2mg/ml ,mitoxantrone hydrochloride,8010200,2mg/ml
33205,cetuximab solution for infusion 2mg/ml ,cetuximab,8010504,2mg/ml
33226,ROFERON -A injection (solution) 4.5 million iu/ml [ROCHE],interferon alfa-2a,8020401,4.5 million iu/ml
33227,HYCAMTIN powder for concentrate for solution for infusion 4mg [GLAXSK PHA],topotecan hydrochloride,8010514,4mg
33261,REFOLINON injection 3mg/ml [PHARMACIA],calcium folinate,8010602,3mg/ml
33272,ARANESP SURECLICK injection 150micrograms [AMGEN],darbepoetin alfa,9010300,150micrograms
33330,HYDROXYCARBAMIDE capsules 500mg [MEDAC UK],hydroxycarbamide,8010507,500mg
33363,NEULASTA injection 6mg/0.6ml [AMGEN],pegfilgrastim,9010600,6mg/0.6ml
33375,naltrexone hydrochloride capsules 4.5mg ,naltrexone hydrochloride,04100300/08020400/23000000,4.5mg
33385,thiotepa powder for solution for injection 15mg/vial ,thiotepa,8010100,15mg/vial
33418,gemcitabine powder for solution for infusion 200mg/vial ,gemcitabine hydrochloride,8010300,200mg/vial
33483,BCG - MEDAC bladder instillation [MEDAC UK],tuberculosis vaccine,8020404,
33519,UFTORAL capsules 224mg + 100mg [MERCK SER],tegafur/uracil,8010300,224mg + 100mg
33520,uracil with tegafur capsules 224mg + 100mg ,tegafur/uracil,8010300,224mg + 100mg
33560,docetaxel concentrate for intravenous infusion 40mg/ml ,docetaxel,8010513,40mg/ml
33682,SULFASALAZINE enteric coated tablets 500mg [DDSA],sulfasalazine,10010300/01050100,500mg
33725,interferon beta-1a injection solution 30micrograms/0.5ml ,interferon beta-1a,8020402,30micrograms/0.5ml
33728,RAPAMUNE oral solution 1mg/ml [WYETH PHAR],sirolimus,8020200,1mg/ml
33803,TEMODAL capsules 5mg [SCHERING-P],temozolomide,8010506,5mg
33813,"epoetin beta powder for solution for injection 100,000 IU (830 micrograms) ",epoetin beta,9010300,"100,000 IU (830 micrograms)"
33815,disodium folinate injection 50mg/ml ,disodium folinate,8010602,50mg/ml
33823,GLIVEC tablets 100mg [NOVARTIS],imatinib mesilate,8010508,100mg
33827,erlotinib tablets 150mg ,erlotinib hydrochloride,8010521,150mg
33878,MYOCET powder for concentrate for solution for infusion 50mg [CEPHALON],doxorubicin hydrochloride,8010200,50mg
33910,NEUPOGEN SINGLEJECT injection 480micrograms/0.5ml [AMGEN],filgrastim,9010600,480micrograms/0.5ml
33956,"NEORECORMON powder for solution for injection 100,000 IU (830 micrograms) [ROCHE]",epoetin beta,9010300,"100,000 IU (830 micrograms)"
33968,SULFASALAZINE tablets 500mg [APS],sulfasalazine,10010300/01050100,500mg
34144,PHENYTOIN tablets 100mg [ACTAVIS],phenytoin sodium,04070300/04080100,100mg
34451,AZATHIOPRINE tablets 50mg [GEN (UK)],azathioprine,08020100/10010300/01050300,50mg
34473,SULFASALAZINE tablets 500mg [GEN (UK)],sulfasalazine,10010300/01050100,500mg
34592,PHENYTOIN SODIUM tablets 100mg [HILLCROSS],phenytoin sodium,04070300/04080100,100mg
34599,CALCIUM FOLINATE tablets 15mg [BMS],calcium folinate,09010200/08010602,15mg
34684,PENICILLAMINE tablets 250mg [GEN (UK)],penicillamine,10010300/16070000/09080101,250mg
34687,AZATHIOPRINE tablets 50mg [HILLCROSS],azathioprine,08020100/10010300/01050300,50mg
34699,PHENYTOIN sugar-free suspension 90mg/5ml [ROSEMONT],phenytoin,04070300/04080100/23000000,90mg/5ml
34723,PROPYLTHIOURACIL tablets 50mg [UCB],propylthiouracil,6020200,50mg
34728,CYCLOPHOSPHAMIDE tablets 50mg [PHARMACIA],cyclophosphamide,8010100,50mg
34816,AZATHIOPRINE tablets 25mg [GEN (UK)],azathioprine,08020100/10010300/01050300,25mg
34894,SULFASALAZINE enteric coated tablets 500mg [CERETRON],sulfasalazine,10010300/01050100,500mg
35126,etanercept injection solution 50mg ,etanercept,10010300,50mg
35226,TEMODAL capsules 20mg [SCHERING-P],temozolomide,8010506,20mg
35301,mycophenolic acid gastro-resistant tablets 180mg ,mycophenolate sodium,8020100,180mg
35364,epoetin alfa injection 20000 iu (168 microgram)/0.5ml ,epoetin alfa,9010300,20000 iu (168 microgram)/0.5ml
35384,TAXOL concentrate for solution for infusion 30mg/5ml [BMS],paclitaxel,8010513,30mg/5ml
35419,ENBREL injection solution 25mg [WYETH PHAR],etanercept,10010300,25mg
35421,REBIF injection 22micrograms (6million IU) [MERCK SER],interferon beta-1a,8020402,22micrograms (6million IU)
35518,azathioprine oral suspension 50mg/5ml ,azathioprine,08020100/10010300/01050300/23000000,50mg/5ml
35629,EPREX injection 2000 iu (16.8 microgram)/0.5ml [JANSSEN],epoetin alfa,9010300,2000 iu (16.8 microgram)/0.5ml
35685,sorafenib tablets 200mg ,sorafenib tosilate,8010522,200mg
35826,mitotane tablets 500mg ,mitotane,8010520,500mg
35844,pegfilgrastim injection 6mg/0.6ml ,pegfilgrastim,9010600,6mg/0.6ml
35854,paclitaxel concentrate for solution for infusion 30mg/5ml ,paclitaxel,8010513,30mg/5ml
35855,carboplatin concentrate for solution for infusion 50mg/5ml ,carboplatin,8010510,50mg/5ml
35963,epoetin alfa injection 2000 iu (16.8 microgram)/0.5ml ,epoetin alfa,9010300,2000 iu (16.8 microgram)/0.5ml
36008,etanercept injection solution 25mg ,etanercept,10010300,25mg
36052,SODIOFOLIN injection 100mg/2ml [MEDAC UK],disodium folinate,8010602,100mg/2ml
36062,dasatinib tablets 50mg ,dasatinib,8010524,50mg
36081,REBIF injection solution 44micrograms (12 million IU) [MERCK SER],interferon beta-1a,8020402,44micrograms (12 million IU)
36127,epoetin alfa injection 10000 iu (84 microgram)/1ml ,epoetin alfa,9010300,10000 iu (84 microgram)/1ml
36263,EPOSIN concentrate for solution for infusion 20mg/ml [MEDAC UK],etoposide,8010400,20mg/ml
36287,epoetin alfa injection 1000 iu (8.4 microgram)/0.5ml ,epoetin alfa,9010300,1000 iu (8.4 microgram)/0.5ml
36294,rituximab concentrate for solution for infusion 500mg/50ml ,rituximab,08020300/10010300,500mg/50ml
36334,EPREX injection 1000 iu (8.4 microgram)/0.5ml [JANSSEN],epoetin alfa,9010300,1000 iu (8.4 microgram)/0.5ml
36552,TAXOTERE concentrate for intravenous infusion 20mg/0.5ml [AVENTIS],docetaxel,8010513,20mg/0.5ml
36556,ENBREL injection solution 50mg [WYETH PHAR],etanercept,10010300,50mg
36575,fluorouracil injection 50mg/ml ,fluorouracil,8010300,50mg/ml
36714,oxaliplatin powder for concentrate for solution for infusion 100mg ,oxaliplatin,8010510,100mg
36726,anakinra injection 100mg/0.67ml ,anakinra,10010300,100mg/0.67ml
36731,darbepoetin alfa injection 500 micrograms ,darbepoetin alfa,9010300,500 micrograms
36738,filgrastim injection 480micrograms/0.5ml ,filgrastim,9010600,480micrograms/0.5ml
36769,bexarotene capsules 75mg ,bexarotene,8010502,75mg
36792,azathioprine oral solution 50mg/ml ,azathioprine,08020100/10010300/01050300/23000000,50mg/ml
36831,docetaxel concentrate for intravenous infusion 20mg/0.5ml ,docetaxel,8010513,20mg/0.5ml
36957,dasatinib tablets 70mg ,dasatinib,8010524,70mg
37099,melphalan powder for solution for injection 50mg ,melphalan hydrochloride,8010100,50mg
37112,ARANESP SURECLICK injection 100micrograms [AMGEN],darbepoetin alfa,9010300,100micrograms
37155,tacrolimus suspension 1mg/ml ,tacrolimus,08020200/23000000,1mg/ml
37238,dasatinib tablets 20mg ,dasatinib,8010524,20mg
37272,pemetrexed powder for concentrate for solution for infusion 500mg ,pemetrexed disodium,8010300,500mg
37273,epoetin alfa injection 30000 iu (252 microgram)/0.75ml ,epoetin alfa,9010300,30000 iu (252 microgram)/0.75ml
37375,VEPESID capsules 100mg [BRISTOL],etoposide,8010400,100mg
37396,MYELOBROMOL tablets 125mg [DURBIN],mitobronitol,08010100/23010000,125mg
37441,TARCEVA film coated tablets 25mg [ROCHE],erlotinib hydrochloride,8010521,25mg
37506,ADVAGRAF once daily modified release capsules 1mg [ASTELLAS],tacrolimus,8020200,1mg
37542,PARAPLATIN injection 150mg [BRISTOL],carboplatin,8010510,150mg
37685,EPREX injection 10000 iu (84 microgram)/1ml [JANSSEN],epoetin alfa,9010300,10000 iu (84 microgram)/1ml
37784,CAELYX concentrate for solution for infusion 20mg/10ml [SCHERING-P],doxorubicin hydrochloride,8010200,20mg/10ml
37915,basiliximab powder for solution for infusion 10mg ,basiliximab,8020200,10mg
37942,doxorubicin citrate liposomal complex powder for concentrate for solution for infusion 50mg ,doxorubicin hydrochloride,8010200,50mg
37985,tacrolimus once daily modified release capsules 1mg ,tacrolimus,8020200,1mg
38056,ciclosporin concentrate for solution for infusion 50mg/1ml ,ciclosporin,08020200/01050300,50mg/1ml
38081,ERWINASE powder for solution for injection 10000 units/vial [OPI],crisantaspase,8010505,10000 units/vial
38113,tacrolimus once daily modified release capsules 500 micrograms ,tacrolimus,8020200,500 micrograms
38145,bevacizumab concentrate for solution for infusion 100mg/4ml ,bevacizumab,8010518,100mg/4ml
38158,cetuximab solution for infusion 100mg/20ml ,cetuximab,8010504,100mg/20ml
38165,ARANESP injection 500 micrograms [AMGEN],darbepoetin alfa,9010300,500 micrograms
38185,cisplatin powder for concentrate for solution for infusion 50mg ,cisplatin,8010510,50mg
38254,TYSABRI concentrate for solution for infusion 300mg/15ml [BIOGEN],natalizumab,8020407,300mg/15ml
38298,methoxy peg epoetin beta injection 50micrograms/0.3ml ,methoxy polyethylene glycol-epoetin beta,9010300,50micrograms/0.3ml
38317,nilotinib capsules 200mg ,nilotinib hydrochloride monohydrate,8010527,200mg
38319,hydroxycarbamide oral solution 500mg/5ml ,hydroxycarbamide,23000000/08010507,500mg/5ml
38352,MIRCERA injection 200micrograms/0.3ml [ROCHE],methoxy polyethylene glycol-epoetin beta,9010300,200micrograms/0.3ml
38371,calcium folinate injection (solution) 15mg/2ml ,calcium folinate,8010602,15mg/2ml
38435,NEORECORMON injection 500 IU (4.15 micrograms) [ROCHE],epoetin beta,9010300,500 IU (4.15 micrograms)
38444,interferon beta-1a injection solution 8.8micrograms + 22micrograms ,interferon beta-1a,8020402,8.8micrograms + 22micrograms
38453,cisplatin concentrate for solution for infusion 10mg/10ml ,cisplatin,8010510,10mg/10ml
38495,bcg immunotherapy tice strain bladder instillation 12.5mg ,tuberculosis vaccine,8020404,12.5mg
38783,interferon beta-1a injection solution 44micrograms (12 million IU) ,interferon beta-1a,8020402,44micrograms (12 million IU)
38871,sunitinib malate capsules 12.5mg ,sunitinib malate,8010523,12.5mg
38919,ADVAGRAF once daily modified release capsules 5mg [ASTELLAS],tacrolimus,8020200,5mg
38989,tacrolimus once daily modified release capsules 5mg ,tacrolimus,8020200,5mg
38999,docetaxel concentrate for intravenous infusion 80mg/2ml ,docetaxel,8010513,80mg/2ml
39017,mesna tablets 600mg ,mesna,8010604,600mg
39024,MIRCERA injection 50micrograms/0.3ml [ROCHE],methoxy polyethylene glycol-epoetin beta,9010300,50micrograms/0.3ml
39111,rituximab concentrate for intravenous infusion 10mg/ml ,rituximab,08020300/10010300,10mg/ml
39115,azathioprine capsules 10mg ,azathioprine,08020100/10010300/01050300/23000000,10mg
39201,calcium folinate injection (solution) 3mg/1ml ,calcium folinate,8010602,3mg/1ml
39299,ARANESP injection 130micrograms [AMGEN],darbepoetin alfa,9010300,130micrograms
39301,MIRCERA injection 75micrograms/0.3ml [ROCHE],methoxy polyethylene glycol-epoetin beta,9010300,75micrograms/0.3ml
39307,doxorubicin injection 10mg/5ml ,doxorubicin hydrochloride,07040401/08010200,10mg/5ml
39361,ARANESP SURECLICK injection 80micrograms [AMGEN],darbepoetin alfa,9010300,80micrograms
39366,mitoxantrone concentrate for solution for infusion 10mg/5ml ,mitoxantrone hydrochloride,8010200,10mg/5ml
39387,epirubicin hydrochloride injection 100mg/50ml ,epirubicin hydrochloride,07040401/08010200,100mg/50ml
39388,fluorouracil injection 1g/20ml ,fluorouracil,8010300,1g/20ml
39450,carboplatin concentrate for solution for infusion 600mg/60ml ,carboplatin,8010510,600mg/60ml
39468,calcium folinate injection (solution) 30mg/10ml ,calcium folinate,8010602,30mg/10ml
39492,peginterferon alfa-2b injection 150micrograms ,peginterferon alfa-2b,8020401,150micrograms
39548,hydroxycarbamide film coated tablets 1000mg ,hydroxycarbamide,8010507,1000mg
39553,oxaliplatin concentrate for solution for infusion 50mg/10ml ,oxaliplatin,8010510,50mg/10ml
39563,RATIOGRASTIM injection 300microgram/0.5ml [RATIOPHARM],filgrastim,9010600,300microgram/0.5ml
39574,calcium leucovorin injection (solution) 15mg/2ml ,calcium folinate,8010602,15mg/2ml
39633,ADVAGRAF once daily modified release capsules 500 micrograms [ASTELLAS],tacrolimus,8020200,500 micrograms
39764,MIRCERA injection 30micrograms/0.3ml [ROCHE],methoxy polyethylene glycol-epoetin beta,9010300,30micrograms/0.3ml
39794,alitretinoin capsules 10mg ,alitretinoin,13050100,10mg
39795,SUTENT capsules 12.5mg [PFIZER],sunitinib malate,8010523,12.5mg
39895,oxaliplatin concentrate for solution for infusion 100mg/20ml ,oxaliplatin,8010510,100mg/20ml
39896,isotretinoin capsules 10mg ,isotretinoin,13060203,10mg
39919,paclitaxel powder for suspension for infusion 100mg ,paclitaxel,8010513,100mg
39961,ROACCUTANE capsules 10mg [ROCHE],isotretinoin,13060203,10mg
40094,erlotinib tablets 100mg ,erlotinib hydrochloride,8010521,100mg
40170,PENICILLAMINE tablets 125mg [GEN (UK)],penicillamine,10010300/16070000/09080101,125mg
40213,MIRCERA injection 100micrograms/0.3ml [ROCHE],methoxy polyethylene glycol-epoetin beta,9010300,100micrograms/0.3ml
40214,darbepoetin alfa injection 130micrograms ,darbepoetin alfa,9010300,130micrograms
40250,CAELYX concentrate for solution for infusion 50mg/25ml [SCHERING-P],doxorubicin hydrochloride,8010200,50mg/25ml
40251,epirubicin hydrochloride injection 200mg/100ml ,epirubicin hydrochloride,07040401/08010200,200mg/100ml
40379,TARGRETIN capsules 75mg [CEPHALON],bexarotene,8010502,75mg
40453,TORISEL concentrate for solution for infusion 30mg/1.2ml [WYETH PHAR],temsirolimus,8010525,30mg/1.2ml
40454,cladribine injection 10mg/5ml ,cladribine,8010300,10mg/5ml
40566,EPREX injection 20000 iu (168 microgram)/0.5ml [JANSSEN],epoetin alfa,9010300,20000 iu (168 microgram)/0.5ml
40580,sunitinib malate capsules 50mg ,sunitinib malate,8010523,50mg
40626,lenalidomide capsules 25mg ,lenalidomide,8020400,25mg
40632,basiliximab powder for solution for infusion 20mg ,basiliximab,8020200,20mg
40649,vincristine sulphate injection 1mg/1ml ,vincristine sulphate,8010400,1mg/1ml
40659,vincristine sulphate injection 5mg ,vincristine sulphate,8010400,5mg
40732,VELCADE powder for solution for injection 3.5mg [ORTHO BIO],bortezomib,8010503,3.5mg
40765,ADVAGRAF once daily modified release capsules 3mg [ASTELLAS],tacrolimus,8020200,3mg
40780,gemcitabine powder for solution for infusion 1g/vial ,gemcitabine hydrochloride,8010300,1g/vial
40781,carboplatin concentrate for solution for infusion 150mg/15ml ,carboplatin,8010510,150mg/15ml
40801,VIRAFERONPEG injection 150micrograms [SCHERING-P],peginterferon alfa-2b,8020401,150micrograms
40816,epirubicin hydrochloride injection 50mg/25ml ,epirubicin hydrochloride,07040401/08010200,50mg/25ml
40875,naltrexone hydrochloride capsules 3mg ,naltrexone hydrochloride,04100300/08020400/23000000,3mg
40888,filgrastim injection 480micrograms/0.8ml ,filgrastim,9010600,480micrograms/0.8ml
