phenotype,CPRD,ICD,OPCS,name_portal,implementation,group,is_cancer,is_adult,file_stem,primary_care,secondary_care,death,case_note_review,ehr_sources,prognosis,genetic,cross_country,publications,type,id,primary_care,secondary_care,type,data_sources,clinical_terminologies,validation,valid_event_data_range,sex,date,modified_date,version,authors
Other Haemolytic Anaemias,_data/primary_care/CPRD_oth_haem_anaemia.csv,_data/secondary_care/ICD_oth_haem_anaemia.csv,,Other haemolytic anaemias,"At the specified date, a patient is defined as having had 'Other haemolytic anaemias' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Other haemolytic anaemias' diagnosis or history of diagnosis during a consultation 
OR
2.  Possible diagnosis of 'Other haemolytic anaemias' during a consultation IF there is NO record satisfying the criteria for Thalassaemia or Sickle Cell Anaemia.
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Other haemolytic anaemias' or history of diagnosis during a hospitalization",Haematological or immunological,0,1,oth_haem_anaemia,['_data/primary_care/CPRD_oth_haem_anaemia.csv'],['_data/secondary_care/ICD_oth_haem_anaemia.csv'],,,,,,,,Disease or Syndrome,PHE00171,['_data/primary_care/CPRD_oth_haem_anaemia.csv'],['_data/secondary_care/ICD_oth_haem_anaemia.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Pulmonary Fibrosis,_data/primary_care/CPRD_pulm_fibrosis.csv,_data/secondary_care/ICD_pulm_fibrosis.csv,,Pulmonary Fibrosis,"At the specified date, a patient is defined as having had Other interstitial pulmonary diseases with fibrosis IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Other interstitial pulmonary diseases with fibrosis diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of Other interstitial pulmonary diseases with fibrosis or history of diagnosis during a hospitalization",Respiratory,0,1,pulm_fibrosis,['_data/primary_care/CPRD_pulm_fibrosis.csv'],['_data/secondary_care/ICD_pulm_fibrosis.csv'],,,,,,,,Disease or Syndrome,PHE00172,['_data/primary_care/CPRD_pulm_fibrosis.csv'],['_data/secondary_care/ICD_pulm_fibrosis.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Infection – Other Nervous System,,_data/secondary_care/ICD_oth_nerv_sys.csv,,Infection – Other nervous system,"At the specified date, a patient is defined as having had Other nervous system infections IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Secondary care
1. ALL diagnoses of Other nervous system infections or history of diagnosis during a hospitalization
OR
2. ALL possible diagnosis of Other nervous system infections during a hospitalization IF NO record satisfying criteria for Meningitis or Encephalitis 30 days before or 30 days after the first event date for Other nervous system infections.",Infections,0,1,oth_nerv_sys,[],['_data/secondary_care/ICD_oth_nerv_sys.csv'],,,,,,,,Disease or Syndrome,PHE00173,[],['_data/secondary_care/ICD_oth_nerv_sys.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Infection – Other Organisms,,_data/secondary_care/ICD_oth_organisms.csv,,Infection – Other organisms,"At the specified date, a patient is defined as having had Diseases caused by Other or unspecified infectious organisms IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Secondary care
1. ALL diagnoses of Diseases caused by Other or unspecified infectious organisms or history of diagnosis during a hospitalization
OR
2. ALL possible diagnosis of Diseases caused by Other or unspecified infectious organisms during a hospitalization IF NO record satisfying criteria for Bacterial Diseases, Tuberculosis, Viral diseases, Chronic viral Hepatitis, HIV, Mycoses or Parasitic Infections 30 days before or 30 days after the first event date for Diseases caused by Other or unspecified infectious organisms.",Infections,0,1,oth_organisms,[],['_data/secondary_care/ICD_oth_organisms.csv'],,,,,,,,Disease or Syndrome,PHE00174,[],['_data/secondary_care/ICD_oth_organisms.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Substance Misuse,_data/primary_care/CPRD_substance_misuse.csv,_data/secondary_care/ICD_substance_misuse.csv,,Substance Misuse,"At the specified date, a patient is defined as having had Other psychoactive 'Other psychoactive substance misuse' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Other psychoactive 'Other psychoactive substance misuse' diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Other psychoactive 'Other psychoactive substance misuse' or history of diagnosis during a hospitalization",Psychiatric,0,1,substance_misuse,['_data/primary_care/CPRD_substance_misuse.csv'],['_data/secondary_care/ICD_substance_misuse.csv'],,,,,,,,Disease or Syndrome,PHE00175,['_data/primary_care/CPRD_substance_misuse.csv'],['_data/secondary_care/ICD_substance_misuse.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Pancreatitis,_data/primary_care/CPRD_pancreatitis.csv,_data/secondary_care/ICD_pancreatitis.csv,,Pancreatitis,"At the specified date, a patient is defined as having had 'Pancreatitis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Pancreatitis' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Pancreatitis' or history of diagnosis during a hospitalization",Digestive,0,1,pancreatitis,['_data/primary_care/CPRD_pancreatitis.csv'],['_data/secondary_care/ICD_pancreatitis.csv'],,,,,,,,Disease or Syndrome,PHE00176,['_data/primary_care/CPRD_pancreatitis.csv'],['_data/secondary_care/ICD_pancreatitis.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Parasitic Infections,,_data/secondary_care/ICD_parasitic.csv,,Parasitic infections,"At the specified date, a patient is defined as having had 'Parasitic infections' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Secondary care
1. ALL diagnoses of 'Parasitic infections' or history of diagnosis during a hospitalization",Infections,0,1,parasitic,[],['_data/secondary_care/ICD_parasitic.csv'],,,,,,,,Disease or Syndrome,PHE00177,[],['_data/secondary_care/ICD_parasitic.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Parkinson's Disease,_data/primary_care/CPRD_Parkinsons.csv,_data/secondary_care/ICD_Parkinsons.csv,,Parkinson's disease,"At the specified date, a patient is defined as having had 'Parkinson's disease' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Parkinson's disease' diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Parkinson's disease' or history of diagnosis during a hospitalization",Neurological,0,1,Parkinsons,['_data/primary_care/CPRD_Parkinsons.csv'],['_data/secondary_care/ICD_Parkinsons.csv'],,,,,,,,Disease or Syndrome,PHE00178,['_data/primary_care/CPRD_Parkinsons.csv'],['_data/secondary_care/ICD_Parkinsons.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Patent Ductus Arteriosus,_data/primary_care/CPRD_PDA.csv,_data/secondary_care/ICD_PDA.csv,_data/secondary_care/OPCS_PDA.csv,Patent ductus arteriosus,"At the specified date, a patient is defined as having had 'Patent ductus arteriosus' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Patent ductus arteriosus' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Patent ductus arteriosus' or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Patent ductus arteriosus' during a hospitalization",Perinatal ,0,0,PDA,['_data/primary_care/CPRD_PDA.csv'],"['_data/secondary_care/ICD_PDA.csv', '_data/secondary_care/OPCS_PDA.csv']",,,,,,,,Disease or Syndrome,PHE00179,['_data/primary_care/CPRD_PDA.csv'],"['_data/secondary_care/ICD_PDA.csv', '_data/secondary_care/OPCS_PDA.csv']",Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Peptic Ulcer,_data/primary_care/CPRD_ulcer_peptic.csv,_data/secondary_care/ICD_ulcer_peptic.csv,_data/secondary_care/OPCS_ulcer_peptic.csv,Peptic Ulcer,"At the specified date, a patient is defined as having had 'Peptic ulcer disease' disease IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Peptic ulcer disease' disease diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Peptic ulcer disease' disease or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Peptic ulcer disease' disease during a hospitalization",Digestive,0,1,ulcer_peptic,['_data/primary_care/CPRD_ulcer_peptic.csv'],"['_data/secondary_care/ICD_ulcer_peptic.csv', '_data/secondary_care/OPCS_ulcer_peptic.csv']",,,,,,,,Disease or Syndrome,PHE00180,['_data/primary_care/CPRD_ulcer_peptic.csv'],"['_data/secondary_care/ICD_ulcer_peptic.csv', '_data/secondary_care/OPCS_ulcer_peptic.csv']",Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Pericardial Effusion,_data/primary_care/CPRD_pericardial_effusion.csv,_data/secondary_care/ICD_pericardial_effusion.csv,,Pericardial effusion,"At the specified date, a patient is defined as having had 'Pericardial effusion (noninflammatory)' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Pericardial effusion (noninflammatory)' (noninflammatory) diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Pericardial effusion (noninflammatory)' (noninflammatory) or history of diagnosis during a hospitalization",Cardiovascular,0,1,pericardial_effusion,['_data/primary_care/CPRD_pericardial_effusion.csv'],['_data/secondary_care/ICD_pericardial_effusion.csv'],,,,,,,,Disease or Syndrome,PHE00181,['_data/primary_care/CPRD_pericardial_effusion.csv'],['_data/secondary_care/ICD_pericardial_effusion.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Peripheral Arterial Disease,_data/primary_care/CPRD_peripheral_arterial_disease.csv,_data/secondary_care/ICD_peripheral_arterial_disease.csv,_data/secondary_care/OPCS_peripheral_arterial_disease.csv,Peripheral arterial disease,"Use MODIFIED CALIBER 'Peripheral arterial disease' (PAD) phenotyping algorithm: 

At the specified date, a patient is considered to have 'Peripheral arterial disease' IF they meet any of the criteria below on or before the specified date. 

The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:
1.	Primary care
    1.	Peripheral vascular disease diagnosis during a consultation. arterial_gprd: category 7
    2.	Record of history of PVD during a consultation. The following Read codes from CPRD:
        1.	Read:14F7.00	Medcode: 106762	Descr:H/O: arterial lower limb ulcer
        2.	Read:14NB.00	Medcode: 59534	Descr: H/O: Peripheral vascular disease procedure
    3.	Leg or aortic embolism or thrombosis diagnosis during a consultation. arterial_gprd: category 8
    4.	'Peripheral arterial disease' procedures, excluding repair of AAA recording during a consultation. pad_opcs_gprd: category 3
    5.	Abnormal 'Peripheral arterial disease' (PAD) ultrasound or Doppler study results recorded during a consultation. As per implementation of pad_ud_gprd in CALIBER
    6.	Abnormal 'Peripheral arterial disease' angiography results recorded during a consultation. As per implementation of pad_angio_gprd in CALIBER
2.	Secondary care
    1.	Primary or secondary diagnosis of Peripheral vascular disease during a hospitalization. arterial_hes: category 7
    2.	Primary or secondary diagnosis of leg or aortic embolism or thrombosis during a hospitalization. arterial_hes: category 8
    3.	Recording of 'Peripheral arterial disease' procedures, excluding repair of AAA. pad_procs_opcs: category 3",Cardiovascular,0,1,peripheral_arterial_disease,['_data/primary_care/CPRD_peripheral_arterial_disease.csv'],"['_data/secondary_care/ICD_peripheral_arterial_disease.csv', '_data/secondary_care/OPCS_peripheral_arterial_disease.csv']",,,,,,,,Disease or Syndrome,PHE00182,['_data/primary_care/CPRD_peripheral_arterial_disease.csv'],"['_data/secondary_care/ICD_peripheral_arterial_disease.csv', '_data/secondary_care/OPCS_peripheral_arterial_disease.csv']",Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Peripheral Neuropathy,_data/primary_care/CPRD_periph_neuro.csv,_data/secondary_care/ICD_periph_neuro.csv,,Peripheral Neuropathy,"At the specified date, a patient is defined as having had 'Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)' (excluding cranial nerve and carpal tunnel syndromes) IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)' (excluding cranial nerve and carpal tunnel syndromes) diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)' (excluding cranial nerve and carpal tunnel syndromes) or history of diagnosis during a hospitalization",Neurological,0,1,periph_neuro,['_data/primary_care/CPRD_periph_neuro.csv'],['_data/secondary_care/ICD_periph_neuro.csv'],,,,,,,,Disease or Syndrome,PHE00183,['_data/primary_care/CPRD_periph_neuro.csv'],['_data/secondary_care/ICD_periph_neuro.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Peritonitis,_data/primary_care/CPRD_peritonitis.csv,_data/secondary_care/ICD_peritonitis.csv,_data/secondary_care/OPCS_peritonitis.csv,Peritonitis,"At the specified date, a patient is defined as having had 'Peritonitis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Peritonitis' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Peritonitis' or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Peritonitis' during a hospitalization",Digestive,0,1,peritonitis,['_data/primary_care/CPRD_peritonitis.csv'],"['_data/secondary_care/ICD_peritonitis.csv', '_data/secondary_care/OPCS_peritonitis.csv']",,,,,,,,Disease or Syndrome,PHE00184,['_data/primary_care/CPRD_peritonitis.csv'],"['_data/secondary_care/ICD_peritonitis.csv', '_data/secondary_care/OPCS_peritonitis.csv']",Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Personality Disorder,_data/primary_care/CPRD_PD.csv,_data/secondary_care/ICD_PD.csv,,Personality Disorder,"At the specified date, a patient is defined as having had 'Personality disorders's IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Personality disorders's diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Personality disorders's or history of diagnosis during a hospitalization",Psychiatric,0,1,PD,['_data/primary_care/CPRD_PD.csv'],['_data/secondary_care/ICD_PD.csv'],,,,,,,,Disease or Syndrome,PHE00185,['_data/primary_care/CPRD_PD.csv'],['_data/secondary_care/ICD_PD.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Pilonidal Cyst/sinus,_data/primary_care/CPRD_pilonidal.csv,_data/secondary_care/ICD_pilonidal.csv,_data/secondary_care/OPCS_pilonidal.csv,Pilonidal cyst/sinus,"At the specified date, a patient is defined as having had 'Pilonidal cyst/sinus' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Pilonidal cyst/sinus' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Pilonidal cyst/sinus' or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Pilonidal cyst/sinus' during a hospitalization",Skin,0,1,pilonidal,['_data/primary_care/CPRD_pilonidal.csv'],"['_data/secondary_care/ICD_pilonidal.csv', '_data/secondary_care/OPCS_pilonidal.csv']",,,,,,,,Disease or Syndrome,PHE00186,['_data/primary_care/CPRD_pilonidal.csv'],"['_data/secondary_care/ICD_pilonidal.csv', '_data/secondary_care/OPCS_pilonidal.csv']",Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Pleural Effusion,_data/primary_care/CPRD_pleural_effusion.csv,_data/secondary_care/ICD_pleural_effusion.csv,,Pleural effusion,"At the specified date, a patient is defined as having had 'Pleural effusion' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Other 'Pleural effusion' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Pleural effusion' or history of diagnosis during a hospitalization",Respiratory,0,1,pleural_effusion,['_data/primary_care/CPRD_pleural_effusion.csv'],['_data/secondary_care/ICD_pleural_effusion.csv'],,,,,,,,Disease or Syndrome,PHE00187,['_data/primary_care/CPRD_pleural_effusion.csv'],['_data/secondary_care/ICD_pleural_effusion.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Pleural Plaque,_data/primary_care/CPRD_pleural_plaque.csv,_data/secondary_care/ICD_pleural_plaque.csv,,Pleural plaque,"At the specified date, a patient is defined as having had 'Pleural plaque' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Other 'Pleural plaque' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Pleural plaque' or history of diagnosis during a hospitalization",Respiratory,0,1,pleural_plaque,['_data/primary_care/CPRD_pleural_plaque.csv'],['_data/secondary_care/ICD_pleural_plaque.csv'],,,,,,,,Disease or Syndrome,PHE00188,['_data/primary_care/CPRD_pleural_plaque.csv'],['_data/secondary_care/ICD_pleural_plaque.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Pneumothorax,_data/primary_care/CPRD_pneumothorax.csv,_data/secondary_care/ICD_pneumothorax.csv,,Pneumothorax,"At the specified date, a patient is defined as having had 'Pneumothorax' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Other 'Pneumothorax' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Pneumothorax' or history of diagnosis during a hospitalization",Respiratory,0,1,pneumothorax,['_data/primary_care/CPRD_pneumothorax.csv'],['_data/secondary_care/ICD_pneumothorax.csv'],,,,,,,,Disease or Syndrome,PHE00189,['_data/primary_care/CPRD_pneumothorax.csv'],['_data/secondary_care/ICD_pneumothorax.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
Polycystic Ovarian Syndrome,_data/primary_care/CPRD_PCOS.csv,_data/secondary_care/ICD_PCOS.csv,,Polycystic ovarian syndrome,"At the specified date, a patient is defined as having had 'Polycystic ovarian syndrome' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Polycystic ovarian syndrome' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Polycystic ovarian syndrome' or history of diagnosis during a hospitalization",Endocrine,0,1,PCOS,['_data/primary_care/CPRD_PCOS.csv'],['_data/secondary_care/ICD_PCOS.csv'],,,,,,,,Disease or Syndrome,PHE00190,['_data/primary_care/CPRD_PCOS.csv'],['_data/secondary_care/ICD_PCOS.csv'],Disease or Syndrome,"['Primary care (CPRD)', 'Hospital Admission Data (HES)', 'Mortality Data (ONS)']","['Read', 'ICD-10', 'ICD-9', 'OPCS-4']","['cross-source', 'casenote', 'aetiology', 'prognosis', 'genetic external']",01/01/1999 - 01/07/2016,Female/Male,2012-11-23,2012-11-23,Revision 2,"['Julie George', 'Emily Herrett', 'Liam Smeeth', 'Harry Hemingway', 'Anoop Shah', 'Spiros Denaxas']"
